id,category,neighborhood,income_band,severity,date_reported,date_resolved,resolution_days,status,citizen_feedback
168,pothole,Sector 4,medium,5,2026-06-02,2026-06-14,12,resolved,"Massive pothole near bus stop, elderly people struggling"
169,water_leak,Sector 6,high,5,2026-06-16,2026-06-20,4,resolved,Water main break flooding the street
170,garbage,Sector 3,medium,1,2026-05-10,2026-06-18,39,resolved,Construction debris dumped on sidewalk blocking path
171,streetlight,Sector 3,medium,3,2026-04-06,2026-04-16,10,resolved,"Streetlight not working for 2 weeks, area is very dark"
172,road_damage,Sector 5,high,3,2026-01-17,2026-01-22,5,resolved,"Road markings completely faded, confusing for drivers"
173,road_damage,Sector 2,low,5,2026-02-08,2026-02-21,13,resolved,Uneven road surface causing accidents for two-wheelers
174,water_leak,Sector 4,medium,2,2026-06-02,2026-06-14,12,resolved,"Fire hydrant leaking for days, water wasted"
175,road_damage,Sector 5,high,5,2026-01-24,2026-01-27,3,resolved,"Road markings completely faded, confusing for drivers"
176,streetlight,Sector 2,low,3,2026-05-05,,,pending,Streetlight pole leaning dangerously after storm
177,road_damage,Sector 5,high,5,2026-01-10,2026-01-15,5,resolved,Road caved in near drainage area
178,streetlight,Sector 2,low,2,2026-06-27,,,in_progress,"Streetlight not working for 2 weeks, area is very dark"
179,road_damage,Sector 3,medium,2,2026-04-24,2026-05-06,12,resolved,"Speed breaker too high, vehicles getting stuck"
180,water_leak,Sector 2,low,2,2026-04-05,2026-04-29,24,resolved,"Fire hydrant leaking for days, water wasted"
181,noise,Sector 5,high,5,2026-04-18,2026-04-23,5,resolved,Industrial noise from factory affecting residential area
182,water_leak,Sector 1,low,3,2026-05-22,2026-06-19,28,resolved,"Fire hydrant leaking for days, water wasted"
183,streetlight,Sector 1,low,3,2026-04-26,,,pending,Multiple streetlights out on entire block
184,pothole,Sector 6,high,4,2026-01-14,2026-01-17,3,resolved,"Multiple potholes on residential street, damaging vehicles"
185,garbage,Sector 2,low,1,2026-06-16,2026-06-27,11,resolved,Missed garbage pickup again this week
186,streetlight,Sector 4,medium,4,2026-04-25,2026-04-29,4,resolved,Flickering streetlight causing visibility issues
187,road_damage,Sector 3,medium,5,2026-05-16,2026-05-24,8,resolved,Road surface crumbling after recent rains
188,road_damage,Sector 2,low,5,2026-04-28,2026-05-02,4,resolved,Road surface crumbling after recent rains
189,noise,Sector 4,medium,2,2026-02-06,2026-03-14,36,resolved,Constant honking at intersection due to broken signal
190,road_damage,Sector 1,low,1,2026-05-15,2026-06-12,28,resolved,Road caved in near drainage area
191,water_leak,Sector 4,medium,4,2026-01-12,2026-01-20,8,resolved,"Fire hydrant leaking for days, water wasted"
192,garbage,Sector 5,high,2,2026-06-18,2026-06-25,7,resolved,"Illegal dumping on vacant lot, health hazard"
193,garbage,Sector 1,low,5,2026-03-28,2026-04-22,25,resolved,"Overflowing community dumpster, bad smell in neighborhood"
194,water_leak,Sector 1,low,1,2026-03-17,2026-03-30,13,resolved,"Fire hydrant leaking for days, water wasted"
195,noise,Sector 3,medium,4,2026-03-06,2026-03-08,2,resolved,Construction noise past 10 PM violating regulations
196,garbage,Sector 6,high,3,2026-02-01,2026-02-05,4,resolved,Waste bins damaged and need replacement
197,water_leak,Sector 3,medium,3,2026-02-17,2026-03-02,13,resolved,Water main break flooding the street
198,pothole,Sector 5,high,4,2026-06-04,2026-06-06,2,resolved,Large pothole on main road causing traffic issues
199,road_damage,Sector 1,low,3,2026-03-20,2026-04-06,17,resolved,"Road markings completely faded, confusing for drivers"
200,road_damage,Sector 3,medium,3,2026-06-07,2026-06-12,5,resolved,Uneven road surface causing accidents for two-wheelers
201,noise,Sector 3,medium,2,2026-01-08,,,in_progress,Construction noise past 10 PM violating regulations
202,road_damage,Sector 2,low,3,2026-04-03,2026-04-17,14,resolved,"Road markings completely faded, confusing for drivers"
203,pothole,Sector 2,low,5,2026-02-05,2026-02-23,18,resolved,Large pothole on main road causing traffic issues
204,water_leak,Sector 5,high,5,2026-04-10,2026-04-11,1,resolved,"Sewage backup in residential area, terrible smell"
205,noise,Sector 2,low,3,2026-06-27,,,pending,Construction noise past 10 PM violating regulations
206,road_damage,Sector 3,medium,4,2026-01-23,2026-02-02,10,resolved,Uneven road surface causing accidents for two-wheelers
207,noise,Sector 1,low,3,2026-03-18,2026-04-04,17,resolved,Noise from late-night deliveries to nearby warehouse
208,streetlight,Sector 2,low,2,2026-03-02,2026-04-13,42,resolved,Multiple streetlights out on entire block
209,noise,Sector 5,high,2,2026-06-06,2026-06-11,5,resolved,Generator noise from building affecting nearby homes
210,noise,Sector 5,high,4,2026-04-15,2026-04-16,1,resolved,Construction noise past 10 PM violating regulations
211,road_damage,Sector 3,medium,5,2026-03-30,2026-04-12,13,resolved,"Speed breaker too high, vehicles getting stuck"
212,streetlight,Sector 5,high,4,2026-05-09,2026-05-10,1,resolved,Flickering streetlight causing visibility issues
213,streetlight,Sector 2,low,3,2026-02-27,2026-03-18,19,resolved,"Broken streetlight near park, safety concern at night"
214,noise,Sector 1,low,3,2026-02-02,2026-02-16,14,resolved,Loud music from commercial establishment every weekend
215,noise,Sector 4,medium,2,2026-02-13,2026-02-22,9,resolved,Noise from late-night deliveries to nearby warehouse
216,pothole,Sector 1,low,1,2026-01-12,2026-02-01,20,resolved,"Pothole has been growing for weeks, no action taken"
217,road_damage,Sector 3,medium,1,2026-05-08,2026-05-17,9,resolved,Uneven road surface causing accidents for two-wheelers
218,water_leak,Sector 3,medium,1,2026-06-26,2026-06-30,4,resolved,"Sewage backup in residential area, terrible smell"
219,noise,Sector 2,low,2,2026-03-22,2026-04-12,21,resolved,Loud music from commercial establishment every weekend
220,noise,Sector 5,high,5,2026-01-28,2026-01-30,2,resolved,Loud music from commercial establishment every weekend
221,pothole,Sector 1,low,3,2026-04-09,2026-04-26,17,resolved,"Pothole has been growing for weeks, no action taken"
222,streetlight,Sector 5,high,2,2026-05-08,2026-05-12,4,resolved,Multiple streetlights out on entire block
223,water_leak,Sector 1,low,5,2026-04-28,,,in_progress,Water pressure very low in entire neighborhood
224,road_damage,Sector 6,high,4,2026-03-15,2026-03-18,3,resolved,"Road markings completely faded, confusing for drivers"
225,water_leak,Sector 5,high,3,2026-01-12,2026-01-15,3,resolved,"Fire hydrant leaking for days, water wasted"
226,pothole,Sector 4,medium,4,2026-05-10,2026-05-15,5,resolved,Large pothole on main road causing traffic issues
227,garbage,Sector 3,medium,5,2026-04-04,2026-04-17,13,resolved,"Garbage not collected for 3 days, attracting stray animals"
228,streetlight,Sector 1,low,3,2026-05-02,2026-05-30,28,resolved,Streetlight pole leaning dangerously after storm
229,water_leak,Sector 2,low,5,2026-03-18,2026-04-11,24,resolved,Water main break flooding the street
230,road_damage,Sector 2,low,1,2026-04-17,2026-04-27,10,resolved,"Road markings completely faded, confusing for drivers"
231,noise,Sector 6,high,5,2026-02-28,2026-03-01,1,resolved,Generator noise from building affecting nearby homes
232,water_leak,Sector 5,high,2,2026-06-24,,,pending,Persistent water leak from underground pipe
233,garbage,Sector 1,low,4,2026-02-08,2026-03-07,27,resolved,Waste bins damaged and need replacement
234,road_damage,Sector 5,high,2,2026-05-13,2026-05-20,7,resolved,Manhole cover missing on busy road
235,garbage,Sector 3,medium,2,2026-04-28,2026-05-08,10,resolved,Waste bins damaged and need replacement
236,road_damage,Sector 4,medium,3,2026-06-06,2026-06-14,8,resolved,"Speed breaker too high, vehicles getting stuck"
237,garbage,Sector 6,high,3,2026-06-30,,,in_progress,"Illegal dumping on vacant lot, health hazard"
238,road_damage,Sector 4,medium,3,2026-03-15,2026-03-25,10,resolved,Manhole cover missing on busy road
239,streetlight,Sector 5,high,3,2026-01-11,2026-01-15,4,resolved,Multiple streetlights out on entire block
240,road_damage,Sector 4,medium,4,2026-02-24,2026-03-08,12,resolved,"Speed breaker too high, vehicles getting stuck"
241,road_damage,Sector 1,low,5,2026-03-03,2026-03-31,28,resolved,Road surface crumbling after recent rains
242,garbage,Sector 1,low,4,2026-01-26,2026-02-11,16,resolved,Missed garbage pickup again this week
243,streetlight,Sector 3,medium,3,2026-03-24,2026-03-30,6,resolved,Flickering streetlight causing visibility issues
244,road_damage,Sector 3,medium,1,2026-02-14,2026-02-19,5,resolved,Manhole cover missing on busy road
245,streetlight,Sector 5,high,3,2026-01-10,2026-01-15,5,resolved,Streetlight pole leaning dangerously after storm
246,garbage,Sector 1,low,3,2026-04-27,2026-05-24,27,resolved,"Overflowing community dumpster, bad smell in neighborhood"
247,water_leak,Sector 5,high,3,2026-02-19,2026-02-26,7,resolved,"Sewage backup in residential area, terrible smell"
248,road_damage,Sector 4,medium,2,2026-01-04,2026-01-11,7,resolved,Uneven road surface causing accidents for two-wheelers
249,water_leak,Sector 6,high,5,2026-03-25,2026-03-26,1,resolved,Persistent water leak from underground pipe
250,water_leak,Sector 6,high,3,2026-03-05,2026-03-09,4,resolved,Persistent water leak from underground pipe
251,garbage,Sector 3,medium,3,2026-03-19,2026-03-28,9,resolved,Waste bins damaged and need replacement
252,road_damage,Sector 2,low,1,2026-04-30,2026-05-19,19,resolved,Uneven road surface causing accidents for two-wheelers
253,garbage,Sector 6,high,3,2026-06-07,2026-06-11,4,resolved,"Overflowing community dumpster, bad smell in neighborhood"
254,noise,Sector 3,medium,3,2026-04-17,2026-04-30,13,resolved,Loud music from commercial establishment every weekend
255,road_damage,Sector 5,high,5,2026-01-21,2026-01-24,3,resolved,Road caved in near drainage area
256,noise,Sector 1,low,5,2026-02-21,,,pending,Generator noise from building affecting nearby homes
257,pothole,Sector 4,medium,5,2026-04-25,2026-05-07,12,resolved,"Pothole has been growing for weeks, no action taken"
258,water_leak,Sector 1,low,3,2026-01-06,2026-01-24,18,resolved,Water main break flooding the street
259,road_damage,Sector 3,medium,1,2026-05-19,2026-05-25,6,resolved,Manhole cover missing on busy road
